Ticker,Entry Date,Entry Price,Current Price,Total Return %,Annualized %,Years Held,SMI,Stoch Avg,RSI,Signal
COHR,2015-03-31,18.46,385.03,1985.8,31.2,11.2,-20.36,18.71,53.65,"Stoch %K > %D, RSI > Signal"
FRO,2015-03-31,5.25,39.07,644.4,19.6,11.2,-34.64,6.59,38.59,Stoch %K > %D
NEM,2015-03-31,16.9,100.23,493.2,17.2,11.2,-42.36,5.83,37.14,RSI > Signal
TECK,2015-03-31,11.92,64.84,444.2,16.3,11.2,-38.33,6.07,42.29,Stoch %K > %D
TPR,2015-03-31,30.0,147.42,391.4,15.3,11.2,-31.32,12.13,49.8,"Stoch %K > %D, RSI > Signal"
BRC,2015-03-31,22.62,82.63,265.4,12.3,11.2,-8.52,33.82,51.81,Stoch %K > %D
DB,2015-03-31,25.16,33.31,32.4,2.5,11.2,-13.13,30.49,43.96,RSI > Signal
TDC,2015-03-31,44.14,33.0,-25.2,-2.6,11.2,-34.77,12.67,49.85,"Stoch %K > %D, RSI > Signal"
MOS,2015-03-31,36.48,22.69,-37.8,-4.1,11.2,-19.93,21.31,48.8,Stoch %K > %D
